"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"29","All gastro pathogens","Gastroenteritis","65+","GPSpecialist",5600324.40384294,3071629.48032555,9312072.96077605
"30","All gastro pathogens","Gastroenteritis","65+","ED",11073006.7299627,5292254.22346887,22068335.0375828
"31","All gastro pathogens","Gastroenteritis","65+","Medications",5372453.29989115,2797993.7838739,9579486.29390411
"32","All gastro pathogens","Gastroenteritis","65+","Tests",1374833.75686938,587001.936759808,3066735.01787261
"33","All gastro pathogens","Gastroenteritis","65+","Hospitalisation",93797937.9242542,49041691.8795816,165328889.286499
"34","All gastro pathogens","Gastroenteritis","65+","Deaths",148032101.690711,76767690.4823608,260656200.187446
"35","All gastro pathogens","Gastroenteritis","65+","WTP",25225092.4499106,14587789.8383242,40326077.2245535
"36","All gastro pathogens","Gastroenteritis","65+","WTPOngoing",0,0,0
"37","All gastro pathogens","Gastroenteritis","65+","HumanCapital",129061662.449875,37235589.8442632,640988746.994779
"38","All gastro pathogens","Gastroenteritis","65+","FrictionHigh",103249329.9599,29788471.8754106,512790997.595823
"39","All gastro pathogens","Gastroenteritis","65+","FrictionLow",38718498.7349625,11170676.953279,192296624.098434
"40","All gastro pathogens","Gastroenteritis","65+","TotalHumanCapital",447835830.79083,280482278.103635,965365881.091089
"41","All gastro pathogens","Gastroenteritis","65+","TotalFrictionHigh",421951396.786658,268810987.995458,841470439.412484
"42","All gastro pathogens","Gastroenteritis","65+","TotalFrictionLow",352556894.549067,234725326.430551,547884523.439702
"43","All gastro pathogens","Gastroenteritis","All Ages","GPSpecialist",35295819.516588,19499874.6646104,57940733.7269479
"44","All gastro pathogens","Gastroenteritis","All Ages","ED",70998084.5635963,36042368.0247959,132089559.694797
"45","All gastro pathogens","Gastroenteritis","All Ages","Medications",26519261.0775204,14652091.8614957,43518473.406438
"46","All gastro pathogens","Gastroenteritis","All Ages","Tests",8900079.95316107,4210435.49349378,18135658.5885246
"47","All gastro pathogens","Gastroenteritis","All Ages","Hospitalisation",158991652.81217,103354314.665863,237416253.191727
"48","All gastro pathogens","Gastroenteritis","All Ages","Deaths",184989711.557904,110646985.536787,299258456.945246
"49","All gastro pathogens","Gastroenteritis","All Ages","WTP",153717495.121915,87128904.1651591,248522861.058562
"50","All gastro pathogens","Gastroenteritis","All Ages","WTPOngoing",0,0,0
"51","All gastro pathogens","Gastroenteritis","All Ages","HumanCapital",1432485868.26076,776235528.988401,2491725942.72988
"52","All gastro pathogens","Gastroenteritis","All Ages","FrictionHigh",1145988694.60861,620988423.190721,1993380754.1839
"53","All gastro pathogens","Gastroenteritis","All Ages","FrictionLow",429745760.478227,232870658.69652,747517782.818964
"54","All gastro pathogens","Gastroenteritis","All Ages","TotalHumanCapital",2092535406.23859,1297492174.21935,3313456531.7482
"55","All gastro pathogens","Gastroenteritis","All Ages","TotalFrictionHigh",1805410595.66156,1139374073.41843,2815919264.06731
"56","All gastro pathogens","Gastroenteritis","All Ages","TotalFrictionLow",1088889129.30245,740113164.652535,1584520711.64107
"57","All gastro pathogens","ReactiveArthritis","<5","GPSpecialist",188965.474409552,101850.19597166,328435.954518913
"58","All gastro pathogens","ReactiveArthritis","<5","ED",0,0,0
"59","All gastro pathogens","ReactiveArthritis","<5","Medications",311013.186400916,133278.793852298,716954.454360927
"60","All gastro pathogens","ReactiveArthritis","<5","Tests",169513.844640238,89810.903810131,301889.372799072
"61","All gastro pathogens","ReactiveArthritis","<5","Hospitalisation",639960.052251787,466859.644621393,849354.934111266
"62","All gastro pathogens","ReactiveArthritis","<5","Deaths",167499.204587214,19101.96603403,781520.185281965
"63","All gastro pathogens","ReactiveArthritis","<5","WTP",2574211.27224854,1372541.86023917,4524986.25880831
"64","All gastro pathogens","ReactiveArthritis","<5","WTPOngoing",885397.836175845,451422.439537194,1628144.6176367
"65","All gastro pathogens","ReactiveArthritis","<5","HumanCapital",7368144.86052107,3982385.29336773,12755075.3468626
"66","All gastro pathogens","ReactiveArthritis","<5","FrictionHigh",5894515.88841686,3185908.23469418,10204060.2774901
"67","All gastro pathogens","ReactiveArthritis","<5","FrictionLow",2210443.45815632,1194715.58801032,3826522.60405879
"68","All gastro pathogens","ReactiveArthritis","<5","TotalHumanCapital",12445086.9034402,7110262.81305799,20921038.5922909
"69","All gastro pathogens","ReactiveArthritis","<5","TotalFrictionHigh",10970341.6777283,6309217.14906622,18387950.0692261
"70","All gastro pathogens","ReactiveArthritis","<5","TotalFrictionLow",7285087.08309126,4293045.18460338,12040713.1222978
"71","All gastro pathogens","ReactiveArthritis","5-64","GPSpecialist",976167.445109208,530662.911499282,1739188.82323146
"72","All gastro pathogens","ReactiveArthritis","5-64","ED",0,0,0
"73","All gastro pathogens","ReactiveArthritis","5-64","Medications",1575902.44470149,671403.484342209,3881897.86349464
"74","All gastro pathogens","ReactiveArthritis","5-64","Tests",873124.106563526,465426.741455126,1598151.48185979
"75","All gastro pathogens","ReactiveArthritis","5-64","Hospitalisation",3644894.30259719,2571923.09421886,4994439.17686231
"76","All gastro pathogens","ReactiveArthritis","5-64","Deaths",154928.278230021,15808.4589395348,837114.681394718
"77","All gastro pathogens","ReactiveArthritis","5-64","WTP",13292446.922079,7153503.77605533,23874083.7968989
"78","All gastro pathogens","ReactiveArthritis","5-64","WTPOngoing",4551971.0465518,2339582.93526879,8622238.07379304
"79","All gastro pathogens","ReactiveArthritis","5-64","HumanCapital",44744615.6790169,24413059.4415033,79302824.4993816
"80","All gastro pathogens","ReactiveArthritis","5-64","FrictionHigh",35795692.5432135,19530447.5532026,63442259.5995053
"81","All gastro pathogens","ReactiveArthritis","5-64","FrictionLow",13423384.7037051,7323917.83245098,23790847.3498145
"82","All gastro pathogens","ReactiveArthritis","5-64","TotalHumanCapital",70235011.3075235,40025876.4621072,121699929.439206
"83","All gastro pathogens","ReactiveArthritis","5-64","TotalFrictionHigh",61273068.3878754,35150953.3142768,105800176.287702
"84","All gastro pathogens","ReactiveArthritis","5-64","TotalFrictionLow",38892075.9593812,22844533.4184632,66292077.2677797
"85","All gastro pathogens","ReactiveArthritis","65+","GPSpecialist",262516.689108818,141444.901990629,474507.065798829
"86","All gastro pathogens","ReactiveArthritis","65+","ED",0,0,0
"87","All gastro pathogens","ReactiveArthritis","65+","Medications",421108.383204477,177678.742147125,1077468.82749122
"88","All gastro pathogens","ReactiveArthritis","65+","Tests",234761.786228872,123930.742322404,437843.921515437
"89","All gastro pathogens","ReactiveArthritis","65+","Hospitalisation",933429.889865326,653019.999789716,1287507.17096448
"90","All gastro pathogens","ReactiveArthritis","65+","Deaths",192852.169154444,18534.816265042,1075646.00309726
"91","All gastro pathogens","ReactiveArthritis","65+","WTP",3574302.38643731,1906921.39940794,6521722.81055358
"92","All gastro pathogens","ReactiveArthritis","65+","WTPOngoing",1224106.06814119,622140.38917502,2367103.59491449
"93","All gastro pathogens","ReactiveArthritis","65+","HumanCapital",4946844.47029227,2677897.09643789,8902053.93306026
"94","All gastro pathogens","ReactiveArthritis","65+","FrictionHigh",3957475.57623382,2142317.67715031,7121643.14644821
"95","All gastro pathogens","ReactiveArthritis","65+","FrictionLow",1484053.34108768,803369.128931366,2670616.17991808
"96","All gastro pathogens","ReactiveArthritis","65+","TotalHumanCapital",12007828.7669384,7016162.54715984,20735765.6786625
"97","All gastro pathogens","ReactiveArthritis","65+","TotalFrictionHigh",11018633.5751065,6471594.86313878,18969310.1261994
"98","All gastro pathogens","ReactiveArthritis","65+","TotalFrictionLow",8538587.97848072,5105537.00285067,14547319.1103231
"99","All gastro pathogens","ReactiveArthritis","All Ages","GPSpecialist",1430272.2244725,780752.147749292,2520958.08941045
"100","All gastro pathogens","ReactiveArthritis","All Ages","ED",0,0,0
"101","All gastro pathogens","ReactiveArthritis","All Ages","Medications",2413179.04627497,1153486.66154381,5145571.24604146
"102","All gastro pathogens","ReactiveArthritis","All Ages","Tests",1283815.56171123,695086.617312842,2298471.34310792
"103","All gastro pathogens","ReactiveArthritis","All Ages","Hospitalisation",5242097.9991882,4104941.07267295,6629261.63130715
"104","All gastro pathogens","ReactiveArthritis","All Ages","Deaths",700122.992095237,206760.696285603,1914971.86285966
"105","All gastro pathogens","ReactiveArthritis","All Ages","WTP",19478994.5068091,10511206.0882984,34727928.0113843
"106","All gastro pathogens","ReactiveArthritis","All Ages","WTPOngoing",6705341.49178669,3503123.20173469,12396228.0202428
"107","All gastro pathogens","ReactiveArthritis","All Ages","HumanCapital",57154568.8510205,31256153.7101801,100377304.185871
"108","All gastro pathogens","ReactiveArthritis","All Ages","FrictionHigh",45723655.0808164,25004922.9681441,80301843.3486971
"109","All gastro pathogens","ReactiveArthritis","All Ages","FrictionLow",17146370.6553062,9376846.11305403,30113191.2557614
"110","All gastro pathogens","ReactiveArthritis","All Ages","TotalHumanCapital",94823245.902219,54616920.5630077,162490912.956753
"111","All gastro pathogens","ReactiveArthritis","All Ages","TotalFrictionHigh",83406773.0369135,48332641.7508781,142396931.945842
"112","All gastro pathogens","ReactiveArthritis","All Ages","TotalFrictionLow",54821720.5126009,32586519.7319639,92348786.1950026
"113","All gastro pathogens","IBS","<5","GPSpecialist",852811.895599952,573281.678298658,1266164.54961498
"114","All gastro pathogens","IBS","<5","ED",0,0,0
"115","All gastro pathogens","IBS","<5","Medications",106648.93362389,71677.6404722455,158353.131477261
"116","All gastro pathogens","IBS","<5","Tests",695252.33838887,467237.697206633,1032596.97214336
"117","All gastro pathogens","IBS","<5","Hospitalisation",8894.59558138901,4964.89266314433,16732.5650325032
"118","All gastro pathogens","IBS","<5","Deaths",46610.6957135852,3604.72576577282,261743.880373507
"119","All gastro pathogens","IBS","<5","WTP",1859958.78291775,1145823.28496635,2946103.15019048
"120","All gastro pathogens","IBS","<5","WTPOngoing",2503229.84949791,1006932.01163367,4972766.23034202
"121","All gastro pathogens","IBS","<5","HumanCapital",3765656.71781727,2530757.93578899,5590305.78366276
"122","All gastro pathogens","IBS","<5","FrictionHigh",3012525.37425382,2024606.34863119,4472244.62693021
"123","All gastro pathogens","IBS","<5","FrictionLow",1129697.01534518,759227.380736696,1677091.73509883
"124","All gastro pathogens","IBS","<5","TotalHumanCapital",9915858.46966035,6371696.10013018,15434491.7442274
"125","All gastro pathogens","IBS","<5","TotalFrictionHigh",9156873.01043798,5831417.30305002,14349872.3150229
"126","All gastro pathogens","IBS","<5","TotalFrictionLow",7266694.91502271,4470570.53232114,11678466.8961053
"127","All gastro pathogens","IBS","5-64","GPSpecialist",4658251.90763453,3023596.10136065,7287198.15531836
"128","All gastro pathogens","IBS","5-64","ED",0,0,0
"129","All gastro pathogens","IBS","5-64","Medications",582566.745570943,378031.798099962,908829.281168072
"130","All gastro pathogens","IBS","5-64","Tests",4425768.38480615,2866836.79087388,6939901.61640442
"131","All gastro pathogens","IBS","5-64","Hospitalisation",4456212.85095324,2436642.57015583,9256125.90989845
"132","All gastro pathogens","IBS","5-64","Deaths",41983.9836621349,3037.30510841713,281044.45942129
"133","All gastro pathogens","IBS","5-64","WTP",10162808.9255004,6082333.30613175,16823477.9181017
"134","All gastro pathogens","IBS","5-64","WTPOngoing",13554211.6857531,5303349.62280978,28470150.3261701
"135","All gastro pathogens","IBS","5-64","HumanCapital",24114068.6600543,15680947.5135088,37660663.2651753
"136","All gastro pathogens","IBS","5-64","FrictionHigh",19291254.9280434,12544758.0108071,30128530.6121403
"137","All gastro pathogens","IBS","5-64","FrictionLow",7234220.59801628,4704284.25405265,11298198.9795526
"138","All gastro pathogens","IBS","5-64","TotalHumanCapital",62976300.639314,40909921.0468741,99254511.7520585
"139","All gastro pathogens","IBS","5-64","TotalFrictionHigh",58113921.9952054,37605649.0959752,91965168.1824304
"140","All gastro pathogens","IBS","5-64","TotalFrictionLow",45960643.469596,29185408.9643686,74008220.8927985
"141","All gastro pathogens","IBS","65+","GPSpecialist",1262774.70283101,809990.817746928,1999510.54847598
"142","All gastro pathogens","IBS","65+","ED",0,0,0
"143","All gastro pathogens","IBS","65+","Medications",157820.336278481,101289.898767518,249823.718610049
"144","All gastro pathogens","IBS","65+","Tests",1372167.40342159,877215.660385532,2177771.01277286
"145","All gastro pathogens","IBS","65+","Hospitalisation",1034551.57303319,559137.649893103,2200429.1240586
"146","All gastro pathogens","IBS","65+","Deaths",1835134.98051205,852927.105914306,4406178.64803664
"147","All gastro pathogens","IBS","65+","WTP",2754235.75211909,1633064.33869413,4614863.0448207
"148","All gastro pathogens","IBS","65+","WTPOngoing",3666928.86584492,1419512.58799653,7824860.80160166
"149","All gastro pathogens","IBS","65+","HumanCapital",2670596.43618186,1714592.89331842,4221195.18404112
"150","All gastro pathogens","IBS","65+","FrictionHigh",2136477.14894549,1371674.31465474,3376956.1472329
"151","All gastro pathogens","IBS","65+","FrictionLow",801178.930854557,514377.867995526,1266358.55521234
"152","All gastro pathogens","IBS","65+","TotalHumanCapital",15279338.4423312,10081473.7903902,23782122.3442673
"153","All gastro pathogens","IBS","65+","TotalFrictionHigh",14743917.5495395,9696499.27323892,22986396.5230517
"154","All gastro pathogens","IBS","65+","TotalFrictionLow",13395679.9625135,8736155.92044683,21017250.940987
"155","All gastro pathogens","IBS","All Ages","GPSpecialist",6779241.82150124,4422720.52134761,10530405.8080989
"156","All gastro pathogens","IBS","All Ages","ED",0,0,0
"157","All gastro pathogens","IBS","All Ages","Medications",847453.469066111,553487.033971548,1313292.37366783
"158","All gastro pathogens","IBS","All Ages","Tests",6498663.57579841,4230592.524489,10121073.1788208
"159","All gastro pathogens","IBS","All Ages","Hospitalisation",5657520.3765544,3431532.83553872,10518658.7941253
"160","All gastro pathogens","IBS","All Ages","Deaths",1997893.83293599,981913.263805254,4576174.78594003
"161","All gastro pathogens","IBS","All Ages","WTP",14787052.8906469,8889393.59370978,24325916.8103856
"162","All gastro pathogens","IBS","All Ages","WTPOngoing",20050894.6695477,8153709.29124567,39752836.4152927
"163","All gastro pathogens","IBS","All Ages","HumanCapital",30565281.7018882,19992401.5220651,47338851.0923576
"164","All gastro pathogens","IBS","All Ages","FrictionHigh",24452225.3615106,15993921.2176521,37871080.8738861
"165","All gastro pathogens","IBS","All Ages","FrictionLow",9169584.51056646,5997720.45661954,14201655.3277073
"166","All gastro pathogens","IBS","All Ages","TotalHumanCapital",88272840.4349346,58159320.6687092,137302391.280115
"167","All gastro pathogens","IBS","All Ages","TotalFrictionHigh",82142603.1357992,53941459.2791715,128051366.208466
"168","All gastro pathogens","IBS","All Ages","TotalFrictionLow",66767089.2183143,43156985.9759785,105375787.791349
"169","All gastro pathogens","GBS","<5","GPSpecialist",6508.61104753484,3187.11497745296,13413.7216572839
"170","All gastro pathogens","GBS","<5","ED",0,0,0
"171","All gastro pathogens","GBS","<5","Medications",0,0,0
"172","All gastro pathogens","GBS","<5","Tests",0,0,0
"173","All gastro pathogens","GBS","<5","Hospitalisation",278405.527503356,136914.454701043,573156.195340801
"174","All gastro pathogens","GBS","<5","Deaths",57416.1242892081,489.81757591072,566405.869662212
"175","All gastro pathogens","GBS","<5","WTP",13117.6756756544,6436.59462912103,27030.6913430799
"176","All gastro pathogens","GBS","<5","WTPOngoing",2698.55972785477,1289.94927348969,5653.51941133179
"177","All gastro pathogens","GBS","<5","HumanCapital",175122.052623503,86121.6390209252,360525.490646907
"178","All gastro pathogens","GBS","<5","FrictionHigh",140097.642098802,68897.3112167402,288420.392517525
"179","All gastro pathogens","GBS","<5","FrictionLow",52536.6157870509,25836.4917062776,108157.647194072
"180","All gastro pathogens","GBS","<5","TotalHumanCapital",596568.21918679,283874.556177269,1280846.36771569
"181","All gastro pathogens","GBS","<5","TotalFrictionHigh",559671.381421386,264584.124994035,1217718.44034403
"182","All gastro pathogens","GBS","<5","TotalFrictionLow",466195.646080606,216335.769901122,1060762.16377379
"183","All gastro pathogens","GBS","5-64","GPSpecialist",46727.7290178804,22921.571727672,96340.2368783591
"184","All gastro pathogens","GBS","5-64","ED",0,0,0
"185","All gastro pathogens","GBS","5-64","Medications",0,0,0
"186","All gastro pathogens","GBS","5-64","Tests",0,0,0
"187","All gastro pathogens","GBS","5-64","Hospitalisation",2000316.55935617,983717.002351602,4118071.35770307
"188","All gastro pathogens","GBS","5-64","Deaths",4899867.82768918,2001400.29526054,10051262.2892961
"189","All gastro pathogens","GBS","5-64","WTP",94249.2202277083,46246.3045829383,194212.8807186
"190","All gastro pathogens","GBS","5-64","WTPOngoing",41299.9378385317,19821.742226267,86736.2823903425
"191","All gastro pathogens","GBS","5-64","HumanCapital",1473652.50918269,724713.806952484,3033822.90212392
"192","All gastro pathogens","GBS","5-64","FrictionHigh",1178922.00734615,579771.045561987,2427058.32169914
"193","All gastro pathogens","GBS","5-64","FrictionLow",442095.752754806,217414.142085745,910146.870637176
"194","All gastro pathogens","GBS","5-64","TotalHumanCapital",8944162.12999846,5008150.80726501,15041467.4853652
"195","All gastro pathogens","GBS","5-64","TotalFrictionHigh",8627464.26734491,4808484.92640733,14561187.3999917
"196","All gastro pathogens","GBS","5-64","TotalFrictionLow",7833523.2004716,4284149.04243505,13430687.2686283
"197","All gastro pathogens","GBS","65+","GPSpecialist",13214.0877699508,6481.32285161421,27198.0327733762
"198","All gastro pathogens","GBS","65+","ED",0,0,0
"199","All gastro pathogens","GBS","65+","Medications",0,0,0
"200","All gastro pathogens","GBS","65+","Tests",0,0,0
"201","All gastro pathogens","GBS","65+","Hospitalisation",565233.274809613,277970.794234717,1163651.29735434
"202","All gastro pathogens","GBS","65+","Deaths",31952758.2626707,13881267.8953424,59345432.0449711
"203","All gastro pathogens","GBS","65+","WTP",26632.1823655284,13067.9067095612,54879.1050423117
"204","All gastro pathogens","GBS","65+","WTPOngoing",35653.8677861745,17227.5625208759,74092.5058487822
"205","All gastro pathogens","GBS","65+","HumanCapital",169868.944281463,83538.2619213913,349710.864881259
"206","All gastro pathogens","GBS","65+","FrictionHigh",135895.155425171,66830.609537113,279768.691905008
"207","All gastro pathogens","GBS","65+","FrictionLow",50960.683284439,25061.4785764174,104913.259464378
"208","All gastro pathogens","GBS","65+","TotalHumanCapital",32831751.4573645,14779088.8028742,60252218.3084598
"209","All gastro pathogens","GBS","65+","TotalFrictionHigh",32797038.9490554,14742322.7196707,60209881.5139546
"210","All gastro pathogens","GBS","65+","TotalFrictionLow",32703685.3533256,14647836.8234377,60112833.8821105
"211","All gastro pathogens","GBS","All Ages","GPSpecialist",66468.9942932415,32596.5647068174,136955.050908285
"212","All gastro pathogens","GBS","All Ages","ED",0,0,0
"213","All gastro pathogens","GBS","All Ages","Medications",0,0,0
"214","All gastro pathogens","GBS","All Ages","Tests",0,0,0
"215","All gastro pathogens","GBS","All Ages","Hospitalisation",2843955.36166914,1398602.25128736,5854878.85039821
"216","All gastro pathogens","GBS","All Ages","Deaths",37399126.6102681,18848683.3963474,65263305.4531493
"217","All gastro pathogens","GBS","All Ages","WTP",133999.078268891,65750.8059216206,276122.677103992
"218","All gastro pathogens","GBS","All Ages","WTPOngoing",79759.3661236584,38462.2139971462,166209.097596488
"219","All gastro pathogens","GBS","All Ages","HumanCapital",1818643.50608765,894373.707894801,3744059.25765209
"220","All gastro pathogens","GBS","All Ages","FrictionHigh",1454914.80487012,715498.966315841,2995247.40612167
"221","All gastro pathogens","GBS","All Ages","FrictionLow",545593.051826296,268312.11236844,1123217.77729563
"222","All gastro pathogens","GBS","All Ages","TotalHumanCapital",42895819.6121002,23857063.3089631,71042615.9188454
"223","All gastro pathogens","GBS","All Ages","TotalFrictionHigh",42499229.7915671,23524656.1623072,70608067.3606111
"224","All gastro pathogens","GBS","All Ages","TotalFrictionLow",41482611.6470762,22634214.5212632,69439846.3156697
"225","All gastro pathogens","HUS","<5","GPSpecialist",1623.72135076745,469.363985709239,4853.56225340734
"226","All gastro pathogens","HUS","<5","ED",0,0,0
"227","All gastro pathogens","HUS","<5","Medications",0,0,0
"228","All gastro pathogens","HUS","<5","Tests",0,0,0
"229","All gastro pathogens","HUS","<5","Hospitalisation",72681.3359087132,27555.9765646472,184139.753626929
"230","All gastro pathogens","HUS","<5","Deaths",525864.897976836,92387.8084841515,1857176.67455722
"231","All gastro pathogens","HUS","<5","WTP",19378.757783002,7353.53827197207,49127.5341131031
"232","All gastro pathogens","HUS","<5","WTPOngoing",8745.38339134833,2829.08950222052,25318.8323203251
"233","All gastro pathogens","HUS","<5","HumanCapital",55573.3597927562,21069.7585689851,140796.322088956
"234","All gastro pathogens","HUS","<5","FrictionHigh",44458.687834205,16855.8068551881,112637.057671165
"235","All gastro pathogens","HUS","<5","FrictionLow",16672.0079378269,6320.92757069554,42238.8966266868
"236","All gastro pathogens","HUS","<5","TotalHumanCapital",719575.090115215,239463.553253874,2052395.67248884
"237","All gastro pathogens","HUS","<5","TotalFrictionHigh",705436.086161806,230549.472208259,2037958.66662018
"238","All gastro pathogens","HUS","<5","TotalFrictionLow",671299.639122992,208096.16873963,2001702.49000116
"239","All gastro pathogens","HUS","5-64","GPSpecialist",7107.03905678356,2038.22240923226,21314.3725723752
"240","All gastro pathogens","HUS","5-64","ED",0,0,0
"241","All gastro pathogens","HUS","5-64","Medications",0,0,0
"242","All gastro pathogens","HUS","5-64","Tests",0,0,0
"243","All gastro pathogens","HUS","5-64","Hospitalisation",316679.004113111,120063.825282696,802313.180779313
"244","All gastro pathogens","HUS","5-64","Deaths",5802871.21174707,2694007.83251795,11419515.0184892
"245","All gastro pathogens","HUS","5-64","WTP",84434.9603504546,32040.0161549121,214053.008010345
"246","All gastro pathogens","HUS","5-64","WTPOngoing",38010.5871986706,12320.6506000923,110982.908751221
"247","All gastro pathogens","HUS","5-64","HumanCapital",284650.825857055,107920.849119727,721169.090904617
"248","All gastro pathogens","HUS","5-64","FrictionHigh",227720.660685644,86336.6792957819,576935.272723694
"249","All gastro pathogens","HUS","5-64","FrictionLow",85395.2477571164,32376.2547359182,216350.727271385
"250","All gastro pathogens","HUS","5-64","TotalHumanCapital",6675357.35666689,3446412.3810549,12343130.9515287
"251","All gastro pathogens","HUS","5-64","TotalFrictionHigh",6609384.63305213,3396603.0298063,12269298.028953
"252","All gastro pathogens","HUS","5-64","TotalFrictionLow",6438758.19391602,3259133.2708361,12076161.7519473
"253","All gastro pathogens","HUS","65+","GPSpecialist",1839.4201945676,527.319556713812,5531.05615839548
"254","All gastro pathogens","HUS","65+","ED",0,0,0
"255","All gastro pathogens","HUS","65+","Medications",0,0,0
"256","All gastro pathogens","HUS","65+","Tests",0,0,0
"257","All gastro pathogens","HUS","65+","Hospitalisation",82534.8749444424,31291.7897187755,209103.910211384
"258","All gastro pathogens","HUS","65+","Deaths",991566.117825857,230439.182013902,3009389.33318449
"259","All gastro pathogens","HUS","65+","WTP",22005.9707241425,8350.47064130294,55787.8420045346
"260","All gastro pathogens","HUS","65+","WTPOngoing",9906.86667892449,3212.53898473906,28680.623548496
"261","All gastro pathogens","HUS","65+","HumanCapital",30552.1925371423,11583.3795709189,77404.6477849263
"262","All gastro pathogens","HUS","65+","FrictionHigh",24441.7540297138,9266.70365673509,61923.7182279411
"263","All gastro pathogens","HUS","65+","FrictionLow",9165.65776114267,3475.01387127566,23221.3943354779
"264","All gastro pathogens","HUS","65+","TotalHumanCapital",1166923.01644058,380064.559302999,3185382.46107642
"265","All gastro pathogens","HUS","65+","TotalFrictionHigh",1159707.11884122,374819.749099618,3177645.82836708
"266","All gastro pathogens","HUS","65+","TotalFrictionLow",1140788.56020915,361184.515698137,3159759.53621281
"267","All gastro pathogens","HUS","All Ages","GPSpecialist",10824.5770270398,3685.11138583674,30123.8341307684
"268","All gastro pathogens","HUS","All Ages","ED",0,0,0
"269","All gastro pathogens","HUS","All Ages","Medications",0,0,0
"270","All gastro pathogens","HUS","All Ages","Tests",0,0,0
"271","All gastro pathogens","HUS","All Ages","Hospitalisation",471895.214966267,178911.591566119,1195556.84461763
"272","All gastro pathogens","HUS","All Ages","Deaths",7750737.62581347,4187830.00581396,13683331.0086969
"273","All gastro pathogens","HUS","All Ages","WTP",125819.688857599,47744.0250681871,318968.384127983
"274","All gastro pathogens","HUS","All Ages","WTPOngoing",57925.7324899628,20338.0588139872,158432.562574249
"275","All gastro pathogens","HUS","All Ages","HumanCapital",370776.378186953,140573.987259631,939370.0607785
"276","All gastro pathogens","HUS","All Ages","FrictionHigh",296621.102549563,112459.189807705,751496.0486228
"277","All gastro pathogens","HUS","All Ages","FrictionLow",111232.913456086,42172.1961778894,281811.01823355
"278","All gastro pathogens","HUS","All Ages","TotalHumanCapital",8971755.12888172,5221224.93713177,15027567.8704468
"279","All gastro pathogens","HUS","All Ages","TotalFrictionHigh",8884207.23288609,5157558.10654731,14921760.4851125
"280","All gastro pathogens","HUS","All Ages","TotalFrictionLow",8663448.13488063,4994907.54656297,14667816.0930017
