"","Measure","Pathogen","Disease","AgeGroup","median","5%","95%"
"52","Deaths","Campylobacter","IBS","All Ages",0.328464381512437,0.137355814924968,0.851232724830226
"53","Deaths","Campylobacter","GBS","<5",0.0117673552244133,9.62299598176385e-05,0.114452202879436
"54","Deaths","Campylobacter","GBS","5-64",0.997582814345091,0.407223004059821,2.0497798126478
"55","Deaths","Campylobacter","GBS","65+",6.50229067338399,2.82356619461317,12.0854192596313
"56","Deaths","Campylobacter","GBS","All Ages",7.62192578519069,3.8333268755196,13.261517176766
"57","Deaths","Campylobacter","Initial and Sequel Disease","<5",0.321300517675325,0.0896047513353003,0.881573443376576
"58","Deaths","Campylobacter","Initial and Sequel Disease","5-64",2.47793012807958,1.4358186441576,4.0007454466614
"59","Deaths","Campylobacter","Initial and Sequel Disease","65+",8.82746529634146,4.88896305017998,14.5648740703097
"60","Deaths","Campylobacter","Initial and Sequel Disease","All Ages",11.789362798258,7.60332598170911,17.6770325575413
"61","Deaths","Non-typhoidal salmonella","Salmonellosis","<5",0.517613221705787,0.180320697434017,1.20807888701496
"62","Deaths","Non-typhoidal salmonella","Salmonellosis","5-64",3.15226378728297,1.77580120079195,5.23491249624838
"63","Deaths","Non-typhoidal salmonella","Salmonellosis","65+",7.47157324531038,4.44400207423558,11.7272184575572
"64","Deaths","Non-typhoidal salmonella","Salmonellosis","All Ages",11.363837229428,7.83897200820626,16.0008982938785
"65","Deaths","Non-typhoidal salmonella","ReactiveArthritis","<5",0.00771183264527873,6.45253448893905e-05,0.0826121828469243
"66","Deaths","Non-typhoidal salmonella","ReactiveArthritis","5-64",0.00385883723600648,3.08709543539231e-05,0.0455322271012824
"67","Deaths","Non-typhoidal salmonella","ReactiveArthritis","65+",0.00407750452530318,3.27378860926845e-05,0.0505631974400376
"68","Deaths","Non-typhoidal salmonella","ReactiveArthritis","All Ages",0.0278908682812029,0.00296154376016551,0.136155372880002
"69","Deaths","Non-typhoidal salmonella","IBS","<5",0.00218537056170468,1.7449012558063e-05,0.0239084644391393
"70","Deaths","Non-typhoidal salmonella","IBS","5-64",0.00105371113343693,8.5826222404303e-06,0.0120052090779116
"71","Deaths","Non-typhoidal salmonella","IBS","65+",0.0505875186390649,0.0158291079856415,0.163515629694869
"72","Deaths","Non-typhoidal salmonella","IBS","All Ages",0.0591911037610681,0.0197659443383462,0.178053374461387
"73","Deaths","Non-typhoidal salmonella","Initial and Sequel Disease","<5",0.544378719214751,0.201921061229178,1.23669546813289
"74","Deaths","Non-typhoidal salmonella","Initial and Sequel Disease","5-64",3.16583374713228,1.78881005819544,5.24696486981797
"75","Deaths","Non-typhoidal salmonella","Initial and Sequel Disease","65+",7.54880534310638,4.5241835688084,11.8049493730081
"76","Deaths","Non-typhoidal salmonella","Initial and Sequel Disease","All Ages",11.4816121475386,7.95151903127113,16.1256374314979
"77","Deaths","Shigella","Shigellosis","<5",0.0283729446143959,0.00428384958057778,0.112447786579513
"78","Deaths","Shigella","Shigellosis","5-64",0.0958714958127686,0.0269372154778244,0.262553315358374
"79","Deaths","Shigella","Shigellosis","65+",0.00542082307666264,4.4273570807751e-05,0.0552776814995909
"80","Deaths","Shigella","Shigellosis","All Ages",0.149772425935109,0.057959751208332,0.335211646822308
"81","Deaths","Shigella","ReactiveArthritis","<5",0.000124893270160463,1.03309156917e-06,0.00158325741351214
"82","Deaths","Shigella","ReactiveArthritis","5-64",0.000134880896396827,1.05844855912869e-06,0.00172049349803917
"83","Deaths","Shigella","ReactiveArthritis","65+",7.06793828538619e-05,5.72721732234917e-07,0.000910651006555215
"84","Deaths","Shigella","ReactiveArthritis","All Ages",0.000583446093404349,6.43152187345768e-05,0.00333263198871023
"85","Deaths","Shigella","IBS","<5",3.73516558496783e-05,2.88832588026809e-07,0.000501758223335285
"86","Deaths","Shigella","IBS","5-64",3.82308184690353e-05,2.96217360008647e-07,0.000519301267919506
"87","Deaths","Shigella","IBS","65+",0.000943709877969518,0.000221123307092999,0.00378991060842951
"88","Deaths","Shigella","IBS","All Ages",0.00115683327111032,0.000282528033917839,0.00430649310216621
"89","Deaths","Shigella","Initial and Sequel Disease","<5",0.0288804051973321,0.00474664691077746,0.112899811838136
"90","Deaths","Shigella","Initial and Sequel Disease","5-64",0.096426800440864,0.0274559669161192,0.263165085497232
"91","Deaths","Shigella","Initial and Sequel Disease","65+",0.00717500769470338,0.000872986407664491,0.0567963265861655
"92","Deaths","Shigella","Initial and Sequel Disease","All Ages",0.152337570924054,0.0604986436807197,0.337728244048097
"93","Deaths","Toxoplasma gondii","Toxoplasmosis","<5",0.013301814004588,0.000114028205554664,0.135241967679218
"94","Deaths","Toxoplasma gondii","Toxoplasmosis","5-64",0.508246308387534,0.168767823125696,1.22251597648128
"95","Deaths","Toxoplasma gondii","Toxoplasmosis","65+",0.324194450923524,0.0907790663316203,0.898658169648803
"96","Deaths","Toxoplasma gondii","Toxoplasmosis","All Ages",0.928972429775026,0.42917059141718,1.80196867472561
"97","Deaths","Toxoplasma gondii","Initial and Sequel Disease","<5",0.013301814004588,0.000114028205554664,0.135241967679218
"98","Deaths","Toxoplasma gondii","Initial and Sequel Disease","5-64",0.508246308387534,0.168767823125696,1.22251597648128
"99","Deaths","Toxoplasma gondii","Initial and Sequel Disease","65+",0.324194450923524,0.0907790663316203,0.898658169648803
"100","Deaths","Toxoplasma gondii","Initial and Sequel Disease","All Ages",0.928972429775026,0.42917059141718,1.80196867472561
"101","Deaths","Listeria monocytogenes","Listeriosis","<5",2.93680803501599,1.6137371320921,4.95475035078999
"102","Deaths","Listeria monocytogenes","Listeriosis","5-64",4.43679153806848,2.62000554298515,7.04062087055731
"103","Deaths","Listeria monocytogenes","Listeriosis","65+",7.5422101413126,4.60572520170823,11.5498215565026
"104","Deaths","Listeria monocytogenes","Listeriosis","All Ages",15.2129040988488,11.2022163016539,20.1434659945834
"105","Deaths","Listeria monocytogenes","Initial and Sequel Disease","<5",2.93680803501599,1.6137371320921,4.95475035078999
"106","Deaths","Listeria monocytogenes","Initial and Sequel Disease","5-64",4.43679153806848,2.62000554298515,7.04062087055731
"107","Deaths","Listeria monocytogenes","Initial and Sequel Disease","65+",7.5422101413126,4.60572520170823,11.5498215565026
"108","Deaths","Listeria monocytogenes","Initial and Sequel Disease","All Ages",15.2129040988488,11.2022163016539,20.1434659945834
"109","Deaths","Salmonella Typhi","Typhoid Fever","<5",0.00356360690037211,2.89909393079032e-05,0.037675501080153
"110","Deaths","Salmonella Typhi","Typhoid Fever","5-64",0.00361583561512505,2.98649508175675e-05,0.0383921607498509
"111","Deaths","Salmonella Typhi","Typhoid Fever","65+",0.0045843867146783,3.81746633303005e-05,0.0480248758489883
"112","Deaths","Salmonella Typhi","Typhoid Fever","All Ages",0.0218715316139663,0.00297764119185404,0.0873072198893874
"113","Deaths","Salmonella Typhi","Initial and Sequel Disease","<5",0.00356360690037211,2.89909393079032e-05,0.037675501080153
"114","Deaths","Salmonella Typhi","Initial and Sequel Disease","5-64",0.00361583561512505,2.98649508175675e-05,0.0383921607498509
"115","Deaths","Salmonella Typhi","Initial and Sequel Disease","65+",0.0045843867146783,3.81746633303005e-05,0.0480248758489883
"116","Deaths","Salmonella Typhi","Initial and Sequel Disease","All Ages",0.0218715316139663,0.00297764119185404,0.0873072198893874
"117","Deaths","STEC","STEC","<5",0.027572098244534,0.000236708669423068,0.259585478684639
"118","Deaths","STEC","STEC","5-64",0.0277437038240326,0.000238210941621907,0.258582084769197
"119","Deaths","STEC","STEC","65+",0.0350516657743889,0.00031357361407257,0.3284094567215
"120","Deaths","STEC","STEC","All Ages",0.161911231448546,0.0229271324354134,0.589758847196144
"121","Deaths","STEC","HUS","<5",0.107842165637571,0.0188630773730252,0.379484048520004
"122","Deaths","STEC","HUS","5-64",1.1810969536311,0.549218969412711,2.32895858250785
"123","Deaths","STEC","HUS","65+",0.201898770779469,0.0475273827930947,0.609601272293023
"124","Deaths","STEC","HUS","All Ages",1.57908533607292,0.85247886290133,2.78536520003738
"125","Deaths","STEC","Initial and Sequel Disease","<5",0.167286152109032,0.0377379887484702,0.512690208234269
"126","Deaths","STEC","Initial and Sequel Disease","5-64",1.2489939555885,0.596113453817109,2.40438299868782
"127","Deaths","STEC","Initial and Sequel Disease","65+",0.279017566134917,0.0763870640963838,0.766688273018266
"128","Deaths","STEC","Initial and Sequel Disease","All Ages",1.7962766350176,1.01263885430217,3.04261445765837
"129","Deaths","Yersinia Enterocolitica","Yersiniosis","<5",0.0357663391848263,0.000293396209233954,0.317013875479676
"130","Deaths","Yersinia Enterocolitica","Yersiniosis","5-64",0.503405343007136,0.158313955441079,1.23981562925069
"131","Deaths","Yersinia Enterocolitica","Yersiniosis","65+",0.0454698795612911,0.000390195906095861,0.408498074193102
"132","Deaths","Yersinia Enterocolitica","Yersiniosis","All Ages",0.689974934228855,0.25574423888353,1.51691995025824
"133","Deaths","Yersinia Enterocolitica","ReactiveArthritis","<5",0.000724309123264892,5.98054187963229e-06,0.00884675458872947
"134","Deaths","Yersinia Enterocolitica","ReactiveArthritis","5-64",0.000589570978991652,4.75002415001065e-06,0.00712733039426067
"135","Deaths","Yersinia Enterocolitica","ReactiveArthritis","65+",0.000786321467636842,6.63516656119864e-06,0.00980957167140406
"136","Deaths","Yersinia Enterocolitica","ReactiveArthritis","All Ages",0.00379347430743208,0.000422773985847524,0.0200075327881627
"137","Deaths","Yersinia Enterocolitica","Initial and Sequel Disease","<5",0.0381814631549676,0.00124419813519342,0.319417676124304
"138","Deaths","Yersinia Enterocolitica","Initial and Sequel Disease","5-64",0.505212662667836,0.160364221332538,1.24146924340123
"139","Deaths","Yersinia Enterocolitica","Initial and Sequel Disease","65+",0.0479915033303761,0.00146347860956447,0.411073977847776
"140","Deaths","Yersinia Enterocolitica","Initial and Sequel Disease","All Ages",0.69620542837177,0.261433979316344,1.52286882439189
"141","Hospitalisations","All gastro pathogens","Gastroenteritis","<5",4650.5753429969,2431.24794560281,8152.58307168905
"142","Hospitalisations","All gastro pathogens","Gastroenteritis","5-64",26707.7178721445,13941.6087117841,46800.9551120973
"143","Hospitalisations","All gastro pathogens","Gastroenteritis","65+",15277.6541968584,7974.58580318665,26817.7059737168
"144","Hospitalisations","All gastro pathogens","Gastroenteritis","All Ages",47854.0366546824,31629.5109119864,70257.2706950892
"145","Hospitalisations","All gastro pathogens","ReactiveArthritis","<5",100.490362418849,73.3940655567371,133.708505769893
"146","Hospitalisations","All gastro pathogens","ReactiveArthritis","5-64",573.215004370918,404.658978660613,785.814615950018
"147","Hospitalisations","All gastro pathogens","ReactiveArthritis","65+",146.641119417829,102.588895681797,202.754232820432
"148","Hospitalisations","All gastro pathogens","ReactiveArthritis","All Ages",823.984723105965,644.962592838051,1044.5024806811
"149","Hospitalisations","All gastro pathogens","IBS","<5",4.52182837437196,2.52103055067695,8.58594142823076
"150","Hospitalisations","All gastro pathogens","IBS","5-64",2272.69866703832,1243.49204322624,4731.19831048349
"151","Hospitalisations","All gastro pathogens","IBS","65+",528.875842761713,285.633488390183,1120.79919119388
"152","Hospitalisations","All gastro pathogens","IBS","All Ages",2890.25313883571,1747.66265721616,5361.71087625814
"153","Hospitalisations","All gastro pathogens","GBS","<5",9.63447981054123,4.72616385281743,19.8062780500566
"154","Hospitalisations","All gastro pathogens","GBS","5-64",69.2227976887996,33.9570262911081,142.306175879584
"155","Hospitalisations","All gastro pathogens","GBS","65+",19.5604182978503,9.59530184537234,40.2117282096286
"156","Hospitalisations","All gastro pathogens","GBS","All Ages",98.4176957971911,48.2784919892979,202.324182139269
"157","Hospitalisations","All gastro pathogens","HUS","<5",12.0411293856898,4.57587513160507,30.3055902156225
"158","Hospitalisations","All gastro pathogens","HUS","5-64",52.4642649255466,19.9374923631381,132.044134970184
"159","Hospitalisations","All gastro pathogens","HUS","65+",13.6735668877355,5.19623472830434,34.4141734228094
"160","Hospitalisations","All gastro pathogens","HUS","All Ages",78.1789611989719,29.7096022230475,196.763898608615
"161","Hospitalisations","All gastro pathogens","Initial and Sequel Disease","<5",4781.81005319986,2561.21457078976,8284.13835869205
"162","Hospitalisations","All gastro pathogens","Initial and Sequel Disease","5-64",29989.655249383,17050.5092858827,50113.0608191051
"163","Hospitalisations","All gastro pathogens","Initial and Sequel Disease","65+",16059.5363814465,8740.50647754024,27630.9682670951
"164","Hospitalisations","All gastro pathogens","Initial and Sequel Disease","All Ages",52047.7322878196,35638.3717767517,74494.4482201952
"165","Hospitalisations","Norovirus","Norovirus","<5",461.541138725392,125.376595032267,980.1611766909
"166","Hospitalisations","Norovirus","Norovirus","5-64",535.906003417345,142.756151229183,1144.54152791857
"167","Hospitalisations","Norovirus","Norovirus","65+",453.938543674102,123.722179301736,965.305971544243
"168","Hospitalisations","Norovirus","Norovirus","All Ages",1527.03984168707,822.941923012191,2399.88317619275
"169","Hospitalisations","Norovirus","Initial and Sequel Disease","<5",461.541138725392,125.376595032267,980.1611766909
"170","Hospitalisations","Norovirus","Initial and Sequel Disease","5-64",535.906003417345,142.756151229183,1144.54152791857
"171","Hospitalisations","Norovirus","Initial and Sequel Disease","65+",453.938543674102,123.722179301736,965.305971544243
"172","Hospitalisations","Norovirus","Initial and Sequel Disease","All Ages",1527.03984168707,822.941923012191,2399.88317619275
"173","Hospitalisations","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","<5",1.52557492094135,0.577700379926718,3.52831896349688
"174","Hospitalisations","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","5-64",20.5751953256204,7.73438685656304,47.642758974409
"175","Hospitalisations","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","65+",15.981623761572,6.07400308471756,37.2824259380817
"176","Hospitalisations","Escherichia coli (Non-STEC)","Escherichia coli (Non-STEC)","All Ages",40.785438023656,20.8249290167441,72.5042015688013
"177","Hospitalisations","Escherichia coli (Non-STEC)","Initial and Sequel Disease","<5",1.52557492094135,0.577700379926718,3.52831896349688
"178","Hospitalisations","Escherichia coli (Non-STEC)","Initial and Sequel Disease","5-64",20.5751953256204,7.73438685656304,47.642758974409
"179","Hospitalisations","Escherichia coli (Non-STEC)","Initial and Sequel Disease","65+",15.981623761572,6.07400308471756,37.2824259380817
"180","Hospitalisations","Escherichia coli (Non-STEC)","Initial and Sequel Disease","All Ages",40.785438023656,20.8249290167441,72.5042015688013
"181","Hospitalisations","Campylobacter","Campylobacteriosis","<5",256.845617614067,170.068015036313,357.793778523923
"182","Hospitalisations","Campylobacter","Campylobacteriosis","5-64",3110.31681117357,2067.57070740312,4327.63593503655
"183","Hospitalisations","Campylobacter","Campylobacteriosis","65+",2244.66695226231,1487.24084590101,3121.04566081427
"184","Hospitalisations","Campylobacter","Campylobacteriosis","All Ages",5644.16989791134,4308.30491744371,7113.87215110429
"185","Hospitalisations","Campylobacter","ReactiveArthritis","<5",54.1624459525406,25.099071235711,97.2488826334774
"186","Hospitalisations","Campylobacter","ReactiveArthritis","5-64",422.392301912141,239.893212315959,670.100819682735
"187","Hospitalisations","Campylobacter","ReactiveArthritis","65+",113.380280188585,66.1769927040685,176.564125280992
"188","Hospitalisations","Campylobacter","ReactiveArthritis","All Ages",598.222166481838,367.225631912382,878.094873369791
"189","Hospitalisations","Campylobacter","IBS","<5",2.61782949990083,1.17988616085749,6.47334904674656
"190","Hospitalisations","Campylobacter","IBS","5-64",1776.28729051094,845.517866902315,4249.46458164659
"191","Hospitalisations","Campylobacter","IBS","65+",432.936860894397,207.509048600568,1028.20028680761
"192","Hospitalisations","Campylobacter","IBS","All Ages",2303.39498274255,1241.65918486266,4799.83154289416
"193","Hospitalisations","Campylobacter","GBS","<5",9.63447981054123,4.72616385281743,19.8062780500566
"194","Hospitalisations","Campylobacter","GBS","5-64",69.2227976887996,33.9570262911081,142.306175879584
"195","Hospitalisations","Campylobacter","GBS","65+",19.5604182978503,9.59530184537234,40.2117282096286
"196","Hospitalisations","Campylobacter","GBS","All Ages",98.4176957971911,48.2784919892979,202.324182139269
"197","Hospitalisations","Campylobacter","Initial and Sequel Disease","<5",327.220598411089,232.515363805262,435.931749688027
"198","Hospitalisations","Campylobacter","Initial and Sequel Disease","5-64",5540.84918122351,3915.32610304055,8149.80375538439
"199","Hospitalisations","Campylobacter","Initial and Sequel Disease","65+",2876.78945723462,2029.67902714685,3879.76699611801
"200","Hospitalisations","Campylobacter","Initial and Sequel Disease","All Ages",8797.19514302434,6877.27282472419,11556.3019333716
"201","Hospitalisations","Non-typhoidal salmonella","Salmonellosis","<5",913.329651498019,579.553465058262,1323.9948292238
"202","Hospitalisations","Non-typhoidal salmonella","Salmonellosis","5-64",1906.17727681622,1206.5207153387,2754.17914001582
"203","Hospitalisations","Non-typhoidal salmonella","Salmonellosis","65+",890.318946349191,563.747410272193,1289.74572769164
"204","Hospitalisations","Non-typhoidal salmonella","Salmonellosis","All Ages",3744.54023565608,2868.65370992204,4738.24223257618
"205","Hospitalisations","Non-typhoidal salmonella","ReactiveArthritis","<5",37.4993038826207,11.6141754166052,76.2524553047878
"206","Hospitalisations","Non-typhoidal salmonella","ReactiveArthritis","5-64",107.312726250291,27.2121590960144,271.868928005598
"207","Hospitalisations","Non-typhoidal salmonella","ReactiveArthritis","65+",23.0976618922681,5.68495702163689,60.9468237399466
"208","Hospitalisations","Non-typhoidal salmonella","ReactiveArthritis","All Ages",171.998923530917,46.9670689361456,393.291695197956
"209","Hospitalisations","Non-typhoidal salmonella","IBS","<5",1.49606279057419,0.597132448684305,3.97207261083614
"210","Hospitalisations","Non-typhoidal salmonella","IBS","5-64",369.498737127405,134.817169248267,1061.44275493571
"211","Hospitalisations","Non-typhoidal salmonella","IBS","65+",72.166843804734,25.9607623934325,211.734412681957
"212","Hospitalisations","Non-typhoidal salmonella","IBS","All Ages",460.077654504923,180.886898697818,1199.51922126147
"213","Hospitalisations","Non-typhoidal salmonella","Initial and Sequel Disease","<5",954.850926442443,620.41962875265,1367.23742295419
"214","Hospitalisations","Non-typhoidal salmonella","Initial and Sequel Disease","5-64",2469.59709762854,1635.47429886102,3524.90460960131
"215","Hospitalisations","Non-typhoidal salmonella","Initial and Sequel Disease","65+",1006.55164074145,662.163050333789,1423.829434585
"216","Hospitalisations","Non-typhoidal salmonella","Initial and Sequel Disease","All Ages",4461.85960587607,3446.87875127228,5693.88679837004
"217","Hospitalisations","Shigella","Shigellosis","<5",18.5586725331339,6.76273624704497,37.251805124161
"218","Hospitalisations","Shigella","Shigellosis","5-64",63.2056543422493,22.9323216562431,126.289455629294
"219","Hospitalisations","Shigella","Shigellosis","65+",6.55733155657992,2.35980402665094,13.0781632041793
"220","Hospitalisations","Shigella","Shigellosis","All Ages",90.4187325749782,46.5729686777467,154.997103759427
"221","Hospitalisations","Shigella","ReactiveArthritis","<5",0.589377713658097,0.163341815480928,1.83572093618306
"222","Hospitalisations","Shigella","ReactiveArthritis","5-64",3.60711729370057,0.990787753443988,11.2270958047571
"223","Hospitalisations","Shigella","ReactiveArthritis","65+",0.381211147366405,0.104507015925808,1.20763448718288
"224","Hospitalisations","Shigella","ReactiveArthritis","All Ages",4.63946843067666,1.31692686850986,14.0085170546473
"225","Hospitalisations","Shigella","IBS","<5",0.0269427615622368,0.00701621474669693,0.0960384250445657
"226","Hospitalisations","Shigella","IBS","5-64",14.0881732233778,3.62276527472667,50.8976671537471
"227","Hospitalisations","Shigella","IBS","65+",1.36338372460441,0.345527941500486,4.92855406440538
"228","Hospitalisations","Shigella","IBS","All Ages",15.832944771919,4.21171329777436,54.4072875274057
"229","Hospitalisations","Shigella","Initial and Sequel Disease","<5",19.3536709967916,7.49110884906486,38.0387373373979
"230","Hospitalisations","Shigella","Initial and Sequel Disease","5-64",86.301987682324,39.1333649781824,158.213571734941
"231","Hospitalisations","Shigella","Initial and Sequel Disease","65+",8.84087695848044,3.97177652485501,16.1341695198232
"232","Hospitalisations","Shigella","Initial and Sequel Disease","All Ages",116.388226303378,65.2094529295473,191.243916339632
"233","Hospitalisations","Toxoplasma gondii","Toxoplasmosis","<5",1.38362658992259,0.532137926870587,2.63006190086365
"234","Hospitalisations","Toxoplasma gondii","Toxoplasmosis","5-64",24.8619621188939,9.61887321809208,47.2750599434761
"235","Hospitalisations","Toxoplasma gondii","Toxoplasmosis","65+",8.26015863465139,3.19195530966591,15.744633491515
"236","Hospitalisations","Toxoplasma gondii","Toxoplasmosis","All Ages",35.1777177732715,18.4938111899101,58.3250390567484
"237","Hospitalisations","Toxoplasma gondii","Initial and Sequel Disease","<5",1.38362658992259,0.532137926870587,2.63006190086365
"238","Hospitalisations","Toxoplasma gondii","Initial and Sequel Disease","5-64",24.8619621188939,9.61887321809208,47.2750599434761
"239","Hospitalisations","Toxoplasma gondii","Initial and Sequel Disease","65+",8.26015863465139,3.19195530966591,15.744633491515
"240","Hospitalisations","Toxoplasma gondii","Initial and Sequel Disease","All Ages",35.1777177732715,18.4938111899101,58.3250390567484
"241","Hospitalisations","Listeria monocytogenes","Listeriosis","<5",9.68496324944138,4.8596596430955,14.5513371903032
"242","Hospitalisations","Listeria monocytogenes","Listeriosis","5-64",29.0548897483241,14.5789789292865,43.6540115709094
"243","Hospitalisations","Listeria monocytogenes","Listeriosis","65+",61.9837647964248,31.1018217158112,93.1285580179402
"244","Hospitalisations","Listeria monocytogenes","Listeriosis","All Ages",100.72361779419,50.5404602881932,151.333906779153
"245","Hospitalisations","Listeria monocytogenes","Initial and Sequel Disease","<5",9.68496324944138,4.8596596430955,14.5513371903032
"246","Hospitalisations","Listeria monocytogenes","Initial and Sequel Disease","5-64",29.0548897483241,14.5789789292865,43.6540115709094
"247","Hospitalisations","Listeria monocytogenes","Initial and Sequel Disease","65+",61.9837647964248,31.1018217158112,93.1285580179402
"248","Hospitalisations","Listeria monocytogenes","Initial and Sequel Disease","All Ages",100.72361779419,50.5404602881932,151.333906779153
"249","Hospitalisations","Salmonella Typhi","Typhoid Fever","<5",3.39812575120793,1.13673846005326,7.65338331009526
"250","Hospitalisations","Salmonella Typhi","Typhoid Fever","5-64",24.9195888421915,8.33608204039057,56.1248109406986
